"","Group_1","compdist_90","CDDIST","ADDIST","SDDIST","compdist_any"
"2329","9005386A",0,0,0,0,0
"2330","9005388B",0,29,42,23,1
"2331","9005389A",0,29,42,23,1
"2332","9005392A",0,30,48,26,1
"2333","9005399A",0,30,46,22,1
"2334","9005402A",0,32,47,26,0
"2335","9005403B",0,32,48,26,0
"2336","9005405B",0,32,48,26,0
"2337","9005408B",0,32,47,26,0
"2338","9005409A",0,32,47,26,0
"2339","9005410A",0,30,45,22,1
"2340","9005413A",0,35,48,26,0
"2341","9005414A",0,35,48,26,0
"2342","9005417C",0,37,52,25,1
"2343","9005419A",0,29,42,23,1
"2344","9005423A",0,24,41,23,1
"2345","9005427A",0,0,0,0,0
"2346","9005428A",0,29,42,23,1
"2347","9005431B",0,35,48,26,0
"2348","9005432A",0,37,52,25,1
"2349","9005457D",0,30,46,22,1
"2350","9005470C",0,33,46,22,1
"2351","9005472A",0,35,48,26,0
"2352","9005475B",0,35,48,26,0
"2353","9005476A",0,35,48,26,0
"2354","9005478A",0,35,48,26,0
"2355","9005481B",0,35,48,26,0
"2356","9005482A",0,35,48,26,0
"2357","9005484A",0,35,48,26,0
"2358","9005489A",0,32,48,26,0
"2359","9005490A",0,35,48,26,0
"2360","9005493A",0,32,47,26,0
"2361","9005494A",0,32,47,26,0
"2362","9005496A",0,32,47,26,0
"2363","9005499A",0,32,47,26,0
"2364","9005501A",0,32,47,26,0
"2365","9005503A",0,32,47,26,0
"2366","9005504A",0,32,47,26,0
"2367","9005507A",0,32,47,26,0
"2368","9005520A",0,24,41,23,1
"2369","9005523A",0,6,40,20,1
"2370","9005526A",0,10,40,20,1
"2371","9005530A",0,10,40,20,1
"2372","9005534A",0,30,45,22,1
"2373","9005537A",0,30,45,22,1
"2374","9005538A",0,30,45,22,1
"2375","9005541A",0,30,45,22,1
"2376","9005543A",0,30,45,22,1
"2377","9005545A",0,24,42,23,1
"2378","9005546A",0,24,40,20,0
"2379","9005549A",0,24,42,23,1
"2380","9005551A",0,24,42,23,1
"2381","9005634A",0,16,39,20,0
"2382","9005635A",0,6,39,20,1
"2383","9005638A",0,11,39,20,1
"2384","9005641A",0,27,44,21,1
"2385","9005642A",0,27,44,21,1
"2386","9005645A",0,27,44,21,1
"2387","9005647A",0,27,44,21,1
"2388","9005651A",0,27,44,21,1
"2389","9005652A",0,27,44,21,1
"2390","9005656A",0,27,44,21,1
"2391","9005658A",0,27,44,21,1
"2392","9005659A",0,5,43,21,0
"2393","9005662A",0,17,39,20,0
"2394","9005663A",0,12,43,21,0
"2395","9005666A",0,5,39,20,0
"2396","9005667A",0,11,43,21,1
"2397","9005669A",0,16,39,20,0
"2398","9005719A",0,32,47,26,0
"2399","9005755A",0,30,45,22,1
"2400","9005759A",0,33,46,22,1
"2401","9005765A",0,33,45,22,1
"2402","9005769A",0,33,46,22,1
"2403","9005772A",0,33,46,22,1
"2404","9005775A",0,33,46,22,1
"2405","9005778A",0,30,45,22,1
"2406","9005816A",0,29,42,23,1
"2407","9005817A",0,29,42,23,1
"2408","9005818A",0,29,42,23,1
"2409","9005821A",0,29,42,23,1
"2410","9005823A",0,29,42,23,1
"2411","9005824A",0,29,42,23,1
"2412","9005826A",0,29,42,23,1
"2413","9005827A",0,29,42,23,1
"2414","9005828A",0,29,42,23,1
"2415","9005829A",0,29,42,23,1
"2416","9005830A",0,29,42,23,1
"2417","9005832A",0,29,42,23,1
"2418","9005833A",0,29,42,23,1
"2419","9005835A",0,29,42,23,1
"2420","9005837B",0,29,42,23,1
"2421","9005838A",0,29,42,23,1
"2422","9005916A",0,29,41,23,1
"2423","9005918A",0,29,41,23,1
"2424","9005919A",0,29,41,23,1
"2425","9005920A",0,29,41,23,1
"2426","9005921A",0,29,41,23,1
"2427","9005923A",0,29,41,23,1
"2428","9005924A",0,29,41,23,1
"2429","9005925A",0,29,41,23,1
"2430","9005926A",0,29,41,23,1
"2431","9005927C",0,29,41,23,1
"2432","9005928A",0,29,41,23,1
"2433","9005931A",0,29,41,23,1
"2434","9005932A",0,29,41,23,1
"2435","9005933A",0,29,41,23,1
"2436","9005934A",0,0,0,0,0
"2437","9005936A",0,0,0,0,0
"2438","9005937A",0,0,0,0,0
"2439","9006025A",0,36,51,25,1
"2440","9006026A",0,36,51,25,1
"2441","9006027A",0,36,51,25,1
"2442","9006030A",0,36,51,25,1
"2443","9006032A",0,36,51,25,1
"2444","9006035A",0,35,51,25,1
"2445","9006039A",0,36,51,25,1
"2446","9006096A",0,30,45,22,1
"2447","9006098A",0,30,45,22,1
"2448","9006100A",0,30,45,22,1
"2449","9006197A",0,21,39,20,0
"2450","9006199B",0,6,39,20,1
"2451","9006200A",0,31,39,20,0
"2452","9006201A",0,13,39,20,0
"2453","9006202A",0,17,39,20,0
"2454","9006203A",0,13,39,20,0
"2455","9006205A",0,14,39,20,1
"2456","9006206A",0,9,39,20,0
"2457","9006210A",0,5,39,20,0
"2458","9006212A",0,13,39,20,0
"2459","9006213A",0,14,39,20,1
"2460","9006214A",0,8,39,20,0
"2461","9006215A",0,14,39,20,1
"2462","9006216A",0,4,39,20,0
"2463","9006217A",0,17,39,20,0
"2464","9006218A",0,11,39,20,1
"2465","9006219A",0,25,38,19,1
"2466","9006220A",0,25,38,19,1
"2467","9006221A",0,25,38,19,1
"2468","9006222A",0,3,39,20,0
"2469","9006223A",0,5,39,20,0
"2470","9006224A",0,7,39,20,0
"2471","9006225A",0,25,38,19,1
"2472","9006227A",0,25,38,19,1
"2473","9006228A",0,25,38,19,1
"2474","9006232A",0,25,38,19,1
"2475","9006233A",0,25,38,19,1
"2476","9006237A",0,25,38,19,1
"2477","9006239A",0,25,38,19,1
"2478","9006241A",0,25,38,19,1
"2479","9006242A",0,25,38,19,1
"2480","9006244A",0,25,38,19,1
"2481","9006246A",0,25,38,19,1
"2482","9006247A",0,25,38,19,1
"2483","9006248A",0,25,38,19,1
"2484","9006250A",0,25,38,19,1
"2485","9006252A",0,25,38,19,1
"2486","9006253A",0,25,38,19,1
"2487","9006254B",0,25,38,19,1
"2488","9006255A",0,25,38,19,1
"2489","9006256A",0,25,38,19,1
"2490","9006257A",0,25,38,19,1
"2491","9006258A",0,25,38,19,1
"2492","9006259A",0,25,38,19,1
"2493","9006260A",0,25,38,19,1
"2494","9006261A",0,25,38,19,1
"2495","9006262B",0,25,38,19,1
"2496","9006263A",0,25,38,19,1
"2497","9006265A",0,25,38,19,1
"2498","9006267A",0,25,38,19,1
"2499","9006268C",0,24,38,19,1
"2500","9006270A",0,25,38,19,1
"2501","9006271A",0,25,38,19,1
"2502","9006273A",0,25,38,19,1
"2503","9006274A",0,25,38,19,1
"2504","9006275A",0,25,38,19,1
"2505","9006276B",0,25,38,19,1
"2506","9006277A",0,25,38,19,1
"2507","9006279A",0,24,41,23,1
"2508","9006280A",0,25,38,19,1
"2509","9006281B",0,25,38,19,1
"2510","9006283A",0,25,38,19,1
"2511","9006285B",0,25,38,19,1
"2512","9006286A",0,25,38,19,1
"2513","9006288A",0,25,38,19,1
"2514","9006289B",0,25,38,19,1
"2515","9006290A",0,25,38,19,1
"2516","9006293A",0,25,38,19,1
"2517","9006294A",0,25,38,19,1
"2518","9006296A",0,25,38,19,1
"2519","9006297A",0,25,38,19,1
"2520","9006298A",0,25,38,19,1
"2521","9006299A",0,25,38,19,1
"2522","9006302A",0,30,45,22,1
"2523","9006304A",0,30,45,22,1
"2524","9006305A",0,30,45,22,1
"2525","9006306A",0,30,45,22,1
"2526","9006307A",0,30,45,22,1
"2527","9006309A",0,30,45,22,1
"2528","9006310A",0,30,45,22,1
"2529","9006311A",0,30,45,22,1
"2530","9006313A",0,30,45,22,1
"2531","9006315B",0,30,45,22,1
"2532","9006316A",0,30,45,22,1
"2533","9006317A",0,30,45,22,1
"2534","9006319A",0,30,45,22,1
"2535","9006320A",0,30,45,22,1
"2536","9006321A",0,30,45,22,1
"2537","9006322A",0,30,45,22,1
"2538","9006323A",0,30,45,22,1
"2539","9006324A",0,30,43,21,1
"2540","9006328A",0,30,44,21,1
"2541","9006329A",0,30,44,21,1
"2542","9006331A",0,30,44,21,1
"2543","9006332A",0,30,44,21,1
"2544","9006335A",0,30,44,21,1
"2545","9006336A",0,30,44,21,1
"2546","9006337A",0,30,44,21,1
"2547","9006338A",0,30,44,21,1
"2548","9006339A",0,30,44,21,1
"2549","9006344A",0,0,0,0,0
"2550","9006401A",0,25,38,19,1
"2551","9006403A",0,25,38,19,1
"2552","9006404A",0,25,38,19,1
"2553","9006406A",0,24,41,23,1
"2554","9006407A",0,25,38,19,1
"2555","9006408A",0,25,38,19,1
"2556","9006410A",0,24,38,19,1
"2557","9006411A",0,24,38,19,1
"2558","9006416A",0,24,41,23,1
"2559","9006419A",0,24,41,23,1
"2560","9006421A",0,24,41,23,1
"2561","9006423A",0,24,41,23,1
"2562","9006425A",0,24,40,20,0
"2563","9006426A",0,24,40,20,0
"2564","9006427A",0,24,40,20,0
"2565","9006428A",0,24,40,20,0
"2566","9006429A",0,24,40,20,0
"2567","9006430A",0,24,40,20,0
"2568","9006432A",0,24,40,20,0
"2569","9006433A",0,24,40,20,0
"2570","9006434A",0,24,40,20,0
"2571","9006436A",0,24,41,23,1
"2572","9006438A",0,24,40,20,0
"2573","9006439A",0,24,40,20,0
"2574","9006440A",0,24,40,20,0
"2575","9006441A",0,24,40,20,0
"2576","9006443A",0,24,40,20,0
"2577","9006444A",0,24,40,20,0
"2578","9006445A",0,24,40,20,0
"2579","9006446A",0,24,41,23,1
"2580","9006447A",0,24,41,23,1
"2581","9006448A",0,24,41,23,1
"2582","9006449A",0,24,41,23,1
"2583","9006450A",0,24,41,23,1
"2584","9006451A",0,24,41,23,1
"2585","9006452A",0,24,41,23,1
"2586","9006453A",0,24,41,23,1
"2587","9006460A",0,24,41,23,1
"2588","9006462A",0,24,40,20,0
"2589","9006463A",0,24,41,23,1
"2590","9006467A",0,24,41,23,1
"2591","9006468A",0,24,41,23,1
"2592","9006471A",0,24,41,23,1
"2593","9006473A",0,24,41,23,1
"2594","9006475A",0,24,41,23,1
"2595","9006476A",0,24,41,23,1
"2596","9006478A",0,24,41,23,1
"2597","9006481A",0,24,41,23,1
"2598","9006482A",0,24,41,23,1
"2599","9006483A",0,24,41,23,1
"2600","9006484A",0,24,41,23,1
"2601","9006485A",0,24,41,23,1
"2602","9006486A",0,24,41,23,1
"2603","9006487A",0,24,41,23,1
"2604","9006488A",0,24,41,23,1
"2605","9006489A",0,24,41,23,1
"2606","9006490A",0,24,41,23,1
