"","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","sig_all_lin","sig_all_linquad"
"412","9000744A",-118.304796759099,34.0966490398614,130,0.048183839881394,1123,0.416234247590808,0.06160344310952,6.05049869878586,0.000792124838127,5.85841167365371,0.031819976312672,2698,-0.0223198103388716,0.00328042735658026,-0.0105188740964435,5.85531249813692e-05,0.0289109986481468,9.20033231683792e-17,37.7716655513675,9.02706838964404e-17,-0.00811654526617279,0.00129096755293277,-0.00370348332732545,0.082621181997837,0.330288295135955,0.00121101913237938,5.72871517765883,0.00331536380355637,-0.0205390372003475,-0.0109215523807582,0.00163297885714854,0.00606790587246187
"413","9000748A",-118.305630763345,34.0954372544484,155,0.039621676891615,1714,0.438139059304703,0.077627517836292,5.88675490770586,0.12476016419683,7.43011513914647,0.124806401652039,3912,-0.022339336727644,0.0033037237100893,-0.0105413210829311,5.29994219310448e-05,0.0281118182662404,8.52399032901483e-17,37.8755881206786,8.17271223996831e-17,-0.0079847276510819,0.00126401321711422,-0.0036960523695513,0.0862437332012724,0.341662254346821,0.00124804463003402,5.67877386207763,0.00348396305616854,-0.0205541926105023,-0.010869848671129,0.00163481386519002,0.00604262746229965
"414","9000944A",-118.408460363929,34.0234520032206,137,0.112943116240725,705,0.581203627370157,0.069356908375243,6.15056610475077,0.053202329966301,10.3066880794281,0.04944421044921,1213,-0.0263360093771834,0.00490080613454155,-0.0133296024307802,2.80060042108863e-05,0.0328702125186246,8.34497712551977e-19,42.5187861366856,9.73430809039091e-19,0.0183522743970627,-0.00691108766949368,-7.80945336698933e-05,0.000384405449199141,0.000233583047177822,0.951405704254141,6.80117462251748,0.00114348454781727,-0.0104641275599592,0.0474679206582036,0.00198653277798634,0.00781864950729281
"415","9000948A",-118.344927805944,34.0055051171329,642,0.939970717423133,23,0.033674963396779,0.054212672396097,25.4051949059851,0.017957719386924,3.93966690930532,0.052636695963289,683,0.00227794330476083,-0.00561636656894575,-0.0119192122907027,0.795684116454826,0.0970990832221404,8.07123749394041e-09,18.1957227039797,1.52201150393535e-08,0.00736776743176156,-0.00465338621933116,-0.00263368861957374,0.162814949260214,0.0478448572197198,0.085161207107358,3.44670812597334,0.0320766580535796,-0.0285588294024312,-0.0200688202555479,0.00258204753345502,0.0102059905555738
"416","9000984A",-118.366902640808,34.15675665356,113,0.068693009118541,1197,0.727659574468085,0.066222723456899,6.11271828816622,0.078438758582941,16.3485856650606,0.068621454239621,1645,-0.0350515738998117,0.0051516896070368,-0.0111599305652599,1.21831444201082e-08,7.52827934994651e-05,7.37331415183083e-23,58.1987051958401,3.67377582473359e-25,0.00299872187083291,-0.00113975921687656,-0.0022948727084559,0.611747924593621,0.362094827106874,0.0341421527486426,2.66277559610649,0.0700499689699418,-0.0166503719624452,0.0162398009809488,0.00160985298080714,0.00866996813109421
"417","9001167A",-118.368943813199,34.1413820089485,145,0.107011070110701,989,0.729889298892989,0.06324311637953,5.8578935131181,0.031578357174036,16.9631787190216,0.036690962898011,1355,-0.033151465278391,0.00509332820174343,-0.0112320334339359,7.30767643421725e-09,9.23230520016532e-05,4.65764383396583e-23,58.4787088316056,2.82772096002428e-25,0.00358788003786381,-0.00134405463012254,-0.00222118889570411,0.517021649136705,0.284769776974525,0.0406259460586024,2.67166926428175,0.0694316926301944,-0.016514993960556,0.0165291640917873,0.00161704633369965,0.0081876653471623
"418","9001274A",-118.442484473618,34.0517458404523,162,0.113049546406141,1064,0.742498255408234,0.062879276191342,6.0566573682168,0.048365158119496,17.7392786933924,0.046548560135517,1433,-0.0275396690367822,0.00490941765646914,-0.0124665396159893,3.12415298000302e-07,0.00389082560606901,9.49460832770619e-23,54.0148183916413,1.85327872700401e-23,0.0164797463467158,-0.00513825760055649,5.86295471239299e-05,0.000484006010224436,0.00034043140720153,0.959012113044886,6.44478847624235,0.0016285122269202,-0.00830365581719117,0.0504710309543833,0.00175456114335964,0.00714399439846575
"419","9001316A",-118.461879423462,34.0548303075823,245,0.153605015673981,1171,0.734169278996865,0.071638879299693,6.31941734401564,0.074127824163709,19.3402742707794,0.069211368706955,1595,-0.0221576308605414,0.0030462268081624,-0.0121347722813978,9.89262078961312e-05,0.0705169837568856,1.09139845401463e-21,48.7625517113907,2.61190479169899e-21,0.0176698061152958,-0.00505761690373019,0.000285447559024183,0.000295262331698482,0.00025218319507208,0.800762105330578,6.75891320681606,0.00119244026660933,-0.00702604133552187,0.0555301707276567,0.00173283723532391,0.00734484020944397
"420","9001330A",-118.442050014535,34.0725924660853,374,0.08827000236016,1965,0.46377153646448,0.123150387290309,6.67244125030188,0.118676349031197,11.0865510282801,0.134814363968351,4237,-0.0340817840866527,0.0064393571766163,-0.0124069860482479,1.0660837074945e-09,6.79318907831464e-05,1.40605346794885e-24,62.5060716650501,6.61191932683154e-27,0.0165473972266917,-0.00483315221195682,-0.000320616846662512,0.000963441655617241,0.000559986889571923,0.773314616177184,6.01703400038438,0.00248994007658969,-0.0098432758465384,0.0521803304265386,0.0017149712802285,0.00771820507908363
"421","9001426A",-118.353100523967,34.0967609454545,136,0.069494123658661,1520,0.776699029126214,0.064802137357056,6.23925954117547,-0.018343445112711,22.6398211366481,-0.004329004329004,1957,-0.025191330412463,0.00415837183606803,-0.0112365805972804,4.07602045337317e-08,0.00162955730309299,7.72272362372875e-22,52.6557382304075,6.64972640721514e-23,0.00165073653007779,-0.00120986196097294,-0.00242192503530421,0.711592438149159,0.34647112981876,0.0287921259004611,2.83738916223419,0.0588603354882744,-0.0175943156877724,0.00769578717813682,0.00165508488527339,0.00661193405725762
"422","9001482A",-118.377848196246,34.0512778805461,160,0.184544405997693,555,0.640138408304498,0.065600841090967,6.58284830942501,-0.025679273506526,13.4784731009337,-0.002381953201625,867,-0.0341727391424076,0.0076559862153341,-0.0129297841479698,5.117232410983e-11,2.29705241924666e-05,1.62968028785259e-22,58.5642467122442,2.61045917244077e-25,0.00821146025882366,-0.00356615164649098,-0.00155588988779721,0.0705429846266197,0.0258562817784971,0.191366990492586,3.34348417162714,0.0355498272156968,-0.0167118387853907,0.0182390866563366,0.00186586900409993,0.00745084322865314
"423","9001485A",-118.38152007231,34.0529516084656,130,0.08801624915369,1178,0.797562626946513,0.069814797890475,6.28195572426725,0.030765864491991,23.3512331839788,0.033719748945823,1477,-0.0338735202961141,0.00753406288583223,-0.0128720493744274,2.88573800473872e-11,1.87262019533295e-05,5.8569962975186e-23,59.8569779912364,7.80555181989533e-26,0.00890686734141618,-0.00372712227189264,-0.00143933050798263,0.0495044394539474,0.0181535496060301,0.223112143755749,3.5408408451422,0.0292063866963041,-0.016059817891786,0.021311921355357,0.00184820770937677,0.00739362002221509
