OBJECTID,Field1,precinct,X,Y,black,blackpct,white,whitepct,white_edudiff,black_edudiff,white_edudiff_se,black_edudiff_se,edu_dif,pop18,DeathZone
-1,950,3990064A,-118.191673428863993,33.913363367399299,471,0.252818035426731,114,0.061191626409018,0.038530275676972,0.081921570296825,4.095575777342080,6.529565054654380,0.106240494529755,1863,0.000000000000000
-1,951,3990065A,-118.186952683185993,33.909180208028403,442,0.278512917454316,173,0.109010712035287,0.019538633410908,0.056243276561528,4.165749173463720,6.926089651649150,0.025735294117647,1587,0.000000000000000
-1,1018,4300001A,-118.246499161491002,34.041225503105601,449,0.246432491767289,7,0.003841931942920,0.021330037860303,0.058546407139709,4.154092992340910,5.725123781698140,0.020605151287822,1822,0.000000000000000
-1,1020,4300020A,-118.254458624999998,33.982863187500001,504,0.204213938411669,12,0.004862236628849,0.015128015426764,0.066109676622588,4.295930228209510,6.448053292937000,0.031102145607922,2468,0.000000000000000
-1,1021,4300021A,-118.245943366196997,33.984315014084501,178,0.092037228541882,15,0.007755946225440,0.027307664961957,0.065936498679862,4.300320283458500,5.968302645080340,0.102287767063717,1934,0.000000000000000
-1,1022,4300022A,-118.263092999999998,33.976389571428598,458,0.228885557221389,3,0.001499250374813,0.020765037953490,0.071987597164268,3.993909982312530,5.770113293077370,0.016701030927835,2001,0.000000000000000
-1,1025,4350030A,-118.328076299174000,33.895407366942102,555,0.215283165244375,450,0.174553917765710,0.055236989317996,0.083849518513123,4.499484456002970,6.480329274911750,0.093688477127968,2578,0.000000000000000
-1,1081,5000007A,-118.122657474467999,34.583723329787198,181,0.077950043066322,985,0.424203273040482,-0.004321897022866,0.069226218694667,5.331192970509630,5.873774972569010,0.048027641808235,2322,1.000000000000000
-1,1089,5000047A,-118.053095694470997,34.565038660523797,114,0.052462034054303,1523,0.700874367234238,-0.033277045417861,0.074691915745101,14.833857658241699,6.051081685103930,-0.008088235294118,2173,1.000000000000000
-1,1090,5000048A,-118.126054793161998,34.569455560683799,123,0.100244498777506,839,0.683781581092095,-0.049324104972772,0.069613830874058,13.472300162040000,5.586693068921240,-0.018987039074083,1227,1.000000000000000
-1,1103,5000085A,-118.108766921167998,34.574424775182500,153,0.082524271844660,1095,0.590614886731392,-0.054223662520640,0.069021157161979,10.240131069677300,5.727139672572230,-0.024615774362439,1854,1.000000000000000
-1,1104,5000086A,-118.043515390750002,34.561988730462502,201,0.070059254095504,1946,0.678285116765423,-0.101218332055131,0.073281753835509,12.863184859665401,5.802149534546330,-0.061790733992712,2869,1.000000000000000
-1,1117,5100002A,-118.163331022929000,33.909022873188903,313,0.141181777176364,560,0.252593594948128,0.045975947222789,0.073371837104580,4.317166198090080,6.269068637915230,0.060240287446665,2217,0.000000000000000
-1,1118,5100006A,-118.149053568233995,33.902595004700899,171,0.117445054945055,497,0.341346153846154,0.059013070020022,0.077995061675275,5.114115980497850,5.721191846582110,0.061593406593407,1456,1.000000000000000
-1,1119,5100007A,-118.154203158507997,33.901484843844500,342,0.117163412127441,505,0.173004453579993,0.005364561768826,0.070070929382393,4.432185771670840,5.978821354238280,0.007528011204482,2919,0.000000000000000
-1,1121,5100013A,-118.180667111801000,33.887068821366498,236,0.121025641025641,507,0.260000000000000,0.000570467605750,0.070392268887523,4.414663164821250,6.121551345617160,0.031260523066562,1950,0.000000000000000
-1,1123,5100015A,-118.163601907273005,33.887978609026000,212,0.141616566466266,776,0.518370073480294,-0.053724025851237,0.061915294459435,8.309202755297379,5.887639778583210,-0.013946212222074,1497,0.000000000000000
