"","OBJECTID","Field1","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","in_elipse","abs_lin","NearRiot","round_abs_lin"
"772",-1,772,"9002588A",-118.256514189133,33.9268190543848,656,0.837803320561941,9,0.011494252873563,0.068266457899381,18.7598692197143,0.006657295772622,4.02280185228464,0.066555783674212,783,-0.009726276795818,0.010309012534575,0.018351480265309,0.325002109515067,0.003655706123668,0,41.3592886790102,0,0.004171518739438,-0.002474064441666,-0.0016301479157,0.48259801352465,0.313017879969933,0.275691918366419,1.10375418677483,0.33186512922623,-0.004787676508903,-0.002675333179755,1,0.004787676508903,"Yes","0"
"773",-1,773,"9002591A",-118.28924779066,33.9132130953204,477,0.343659942363112,61,0.043948126801153,0.046113133021755,6.85680956886792,0.013975095705243,4.00681944755324,0.007850933351304,1388,0.003778268451528,0.006632695168875,0.021270837217095,0.735771528553428,0.111543608372398,0,50.413865760062,0,0.00913539519779,-0.003953351493003,0.000149495261038,0.180318471673133,0.175434809371684,0.924843180908907,0.92317072345779,0.397459718475144,0.004155091419715,0.021788205466696,1,0.004155091419715,"Yes","0"
"774",-1,774,"9002597A",-118.288537575523,33.8822523215116,396,0.127824402840542,388,0.125242091672046,0.07660557136823,6.03199199993485,0.014315391047839,4.51704426504651,0.052773300464587,3098,0.008002303463686,0.003384794947944,0.018108161184183,0.441260813340597,0.324071793559726,0,55.5843332323481,0,0.01459975287318,-0.004835864474362,0.001538158205103,0.033194654923358,0.051416732538808,0.279888101413805,2.48521677358161,0.083615002721605,0.011592511055373,0.051129327347562,0,0.011592511055373,"No","0.01"
"775",-1,775,"9002728A",-118.346673814607,34.1014414494382,126,0.0778739184178,1272,0.786155747836836,0.074083185270701,6.02149778851232,0.120492777197282,21.2846559131499,0.109523809523809,1618,-0.024664245005407,0.003999364919649,-0.010784018487341,2.32597153e-07,0.002622699281985,0,47.8438734586436,0,-0.000178930049525,-0.000756789656324,-0.002789607316512,0.968624061517859,0.554066424014563,0.011841189865942,3.34807628869791,0.035387599881394,-0.017951127629812,0.005083277748886,1,0.017951127629812,"Yes","0.02"
"776",-1,776,"9002798A",-118.280091915767,34.0696889136069,271,0.132259638848219,309,0.150805270863836,0.065484335624733,6.24916929319997,0.004953313351996,4.24539259109571,0.021342406433653,2049,-0.010753754552114,0.000453609117787,-0.009224172808282,0.088590476337301,0.803627894478141,9.5339e-11,21.2474055227723,7.71994e-10,-0.016578326752259,0.003778863222927,-0.005074065113877,0.000330071989882,0.009789138101771,2.6065819904e-05,12.2664133714544,5.14571689e-06,-0.023991043588075,-0.029558719516222,1,0.023991043588075,"Yes","0.02"
"777",-1,777,"9002834A",-118.46227101129,34.2254148483871,165,0.12396694214876,613,0.460555972952667,0.071409896214354,5.82994017806819,0.02419255014254,6.45285970760414,0.049338818689392,1331,-0.050233577214341,0.006067365845853,-0.011138309484217,4.3464938e-08,1.7025096521e-05,0,60.3859569539002,0,0.017487226767895,-0.002934127043485,-0.001612212572149,0.039784018067937,0.023633018703767,0.13043467119941,3.7129838976799,0.024605931052333,-0.013611808126363,0.066362802220071,0,0.013611808126363,"No","0.01"
"778",-1,778,"9002891A",-118.411632271028,34.0266641775701,120,0.099091659785301,750,0.619322873658134,0.068296493314622,6.51415331079295,0.066329363656899,12.9529157967585,0.056677368853982,1211,-0.025686701743525,0.004785004996867,-0.012839592473949,2.6310340936e-05,0.03013137396684,0,41.7083302848094,0,0.01800901802725,-0.006687472358816,-0.000119728671872,0.000384678149037,0.00022576303582,0.924195044059323,6.83609403731527,0.00110455567131,-0.010180511336295,0.047690591012414,1,0.010180511336295,"Yes","0.01"
"779",-1,779,"9002893A",-118.404901106858,34.0238318676236,170,0.133858267716535,669,0.526771653543307,0.047374684718039,6.49977108118093,-0.006518310599071,9.50769037287635,0.004784688995215,1270,-0.025908587993005,0.004857312755042,-0.013031234570462,4.7094859624e-05,0.037058241326326,0,40.1076843974627,0,0.01800706813427,-0.006901772304506,-0.000253246559157,0.000526368325929,0.000285908990829,0.843942021432164,6.62771560646273,0.001358196882745,-0.011167559101477,0.045547829858189,1,0.011167559101477,"Yes","0.01"
"780",-1,780,"9002896A",-118.383763058193,34.0411205926493,618,0.495192307692308,214,0.171474358974359,0.107055415457419,9.52821962812671,0.123976954023395,4.54436810056133,0.11934994262022,1248,-0.034695532293817,0.007967766413093,-0.012982116736283,1.884172e-09,0.000102264205275,0,51.8941269216078,0,0.010453756966783,-0.004445022705489,-0.001383127164999,0.028854945236226,0.010472239610225,0.260778727934523,3.91862224448347,0.020051078685921,-0.015942499723254,0.024350379816942,1,0.015942499723254,"Yes","0.02"
"781",-1,781,"9002907A",-118.286348823529,34.0010662352941,460,0.474716202270382,6,0.006191950464396,0.073722811328414,7.40528608535437,0.026224809189181,4.02676838094596,0.062042673553465,969,0.025447706841238,-0.011350082203959,-0.00409402263963,0.004577567321752,0.000708239411197,0.054965902126514,7.61088706951934,0.000512365729697,-0.020116171036786,0.006092361644937,-0.006503368395257,0.000703232431424,0.017399128888457,3.0873238343e-05,11.587241560147,1.0052175033e-05,-0.037195166346483,-0.071332009239129,1,0.037195166346483,"Yes","0.04"
"782",-1,782,"9002908A",-118.269512506726,34.0147083183857,722,0.851415094339623,14,0.016509433962264,0.082461042032068,19.2685792835738,-0.000305772242424,4.08008195965891,0.077595657637905,848,0.020386373078071,-0.008954504136793,-0.004618012233233,0.009428977402991,0.001045651650852,0.014482590058295,8.40428898145085,0.000233494780167,-0.022721655446423,0.00669421261704,-0.006596078770009,1.0027353492e-05,0.001097679784581,3.289420018e-06,16.3026684918266,9.7263667e-08,-0.032332130533655,-0.060851143498887,1,0.032332130533655,"Yes","0.03"
"783",-1,783,"9002910A",-118.289198013111,33.9056269952197,446,0.414883720930233,168,0.156279069767442,0.01548244422912,6.9418352536285,-0.031410050146975,4.42165216026572,-0.020787912589363,1075,0.006783450418384,0.005109637194327,0.020698159314533,0.535009642704649,0.195382754493315,0,52.859164484816,0,0.011177766389293,-0.004448196740144,0.000647134312756,0.097487614975988,0.108769719365659,0.674823015042853,1.37549679596482,0.252999659346383,0.006786303033655,0.030556892065305,1,0.006786303033655,"Yes","0.01"
"784",-1,784,"9002914A",-118.359838995582,34.0383800427099,732,0.726190476190476,33,0.032738095238095,0.133159942185445,14.0099619826888,0.033181790402278,4.21246102753097,0.12247005369682,1008,-0.033460247301741,0.007538025633215,-0.012915097424124,1.21846786e-07,0.000807709210183,0,43.8906434085265,0,0.003102401140777,-0.00220561872861,-0.002472052840046,0.509958518494127,0.218962282043749,0.051728817992676,2.65169277647935,0.070828152449107,-0.021075186060864,-0.002298381296717,1,0.021075186060864,"Yes","0.02"
"785",-1,785,"9002919A",-118.326215807899,34.1054811202873,108,0.074277854195323,692,0.475928473177442,0.076026872808305,6.33257211540197,0.118785607270827,7.31873812972765,0.095345744680851,1454,-0.024226251903757,0.003771142734615,-0.010523021442036,2.857502197e-06,0.006391766258932,0,42.8071572029997,0,-0.00406278825998,0.000214981788725,-0.003302004443443,0.386018687825503,0.867231041110089,0.003193214806105,4.3708807580353,0.012784765448901,-0.019117405343375,-0.002903361220561,1,0.019117405343375,"Yes","0.02"
"786",-1,786,"9002927A",-118.300548684859,34.0096006584507,489,0.644268774703557,17,0.022397891963109,0.119125014644165,9.62465373419811,0.019517047921127,4.13498040128565,0.10270317557519,759,0.013419870515201,-0.007941299741653,-0.007582161897919,0.11875988315959,0.012053273349051,0.000191027889576,10.170369706527,4.0709893611e-05,-0.015486905617544,0.004252270456765,-0.005921764869252,0.00581731484831,0.07664116225097,9.9736089338e-05,9.18649272036829,0.000107672567902,-0.037001067206498,-0.071184683705926,1,0.037001067206498,"Yes","0.04"
"787",-1,787,"9002929A",-118.24143548062,33.9921046976744,491,0.378858024691358,15,0.011574074074074,0.042845651518648,6.9435131679942,0.027611149314924,4.00895663670473,0.032312925170068,1296,0.028315015648869,-0.009327357108812,0.002302314196463,0.002293588281872,0.004103863506314,0.253162968071877,4.78619719221585,0.008458726736969,-0.023756398527583,0.007010575927689,-0.0061356775213,0.000157627633469,0.00393092779107,2.6273781102e-05,13.0927307100727,2.280022924e-06,-0.024641710565653,-0.018640968014271,1,0.024641710565653,"Yes","0.02"
"788",-1,788,"9002930A",-118.208932910781,33.9997719405204,665,0.796407185628742,13,0.015568862275449,0.086878831562609,16.4814231390346,0.019517826931557,4.12055439896046,0.080896686159844,835,0.026971523487407,-0.007837422981698,0.002357328631234,0.002260480262595,0.00437527676586,0.200359838136209,4.89566832373242,0.007586401778387,-0.016368145365992,0.003840093601059,-0.005344862845795,0.006050050249168,0.057621582210259,7.1471856131e-05,9.74249334141922,6.2135322884e-05,-0.018211150953673,0.019699079382426,1,0.018211150953673,"Yes","0.02"
"789",-1,789,"9002933A",-118.358017563506,34.0363047781753,565,0.708908406524467,20,0.025094102885822,0.101674338671153,11.9036096966641,0.009915600103277,4.21124047578466,0.087283391095708,797,-0.032854831377615,0.007325549980163,-0.012946870523507,4.5043321e-07,0.001626420257725,0,41.8868073688229,0,0.00272655585946,-0.002113254855154,-0.002556815390617,0.565480017604884,0.247411933714465,0.046575693918517,2.65306120257109,0.070731601577477,-0.021689484179558,-0.00497136025111,1,0.021689484179558,"Yes","0.02"
"790",-1,790,"9002942A",-118.337135170316,34.1018019111922,109,0.059046587215601,1150,0.62296858071506,0.067751091652255,6.07580569624963,-0.001714903774433,10.625053660882,0.015230582524272,1846,-0.024351069304415,0.003893351432173,-0.010678357091218,7.2302032e-07,0.004066746577545,0,45.446628932099,0,-0.001929022515007,-0.000319583662816,-0.003033422060084,0.673345287154249,0.803485857187586,0.006498578109633,3.74149457329987,0.023917330244531,-0.0185690254951,0.000917162993664,1,0.0185690254951,"Yes","0.02"
"791",-1,791,"9002943A",-118.330634750452,34.097729641953,122,0.054979720594863,623,0.280757097791798,0.070029965051888,6.36950574613536,0.071061253218127,4.43878393860547,0.115865911582024,2219,-0.023871361215973,0.003820031748619,-0.010633151815931,1.628092225e-06,0.006033565308406,0,43.4221913509177,0,-0.003175354116646,-1.2605392286e-05,-0.003217973063099,0.48400033872443,0.99226417417344,0.004164488007338,4.11423705604293,0.016504001887507,-0.019111936459135,-0.002314701334662,1,0.019111936459135,"Yes","0.02"
"792",-1,792,"9002952A",-118.294375421053,34.0620114643963,181,0.0409409635829,371,0.083917665686496,0.068179636613134,5.86826014487004,0.023672722001092,4.27505213568458,0.068627450980392,4421,-0.014676210354184,0.001517036669171,-0.009847074867535,0.018447473712837,0.425221461022806,8.769e-12,23.940157943564,5.6095e-11,-0.01480919631139,0.003444777188512,-0.004896405752676,0.001389193279624,0.02640456251745,6.3557823294e-05,10.5254664500744,2.8666048586e-05,-0.024643672281461,-0.030186557143727,1,0.024643672281461,"Yes","0.02"
"793",-1,793,"9002955A",-118.39810351631,34.0261097637795,227,0.14312736443884,916,0.577553593947037,0.06399385134225,6.56491349853236,0.067888948860129,10.6858192974474,0.05889399328196,1586,-0.029309785708964,0.006066019429587,-0.013208745053835,4.893031459e-06,0.009679143771698,0,42.4296152356875,0,0.016668695505265,-0.006571239162092,-0.000550076268662,0.001316590225212,0.000616039786506,0.669321314176345,5.97761671356759,0.00258932011929,-0.012697819874031,0.040635172058348,1,0.012697819874031,"Yes","0.01"
